,open,high,low,close,volume,market,close_ratio,spread,prevClose,7 Day Rolling Mean,7 Day SD,percentChange,isEvent based on 2SD,Naive Percent Event
280,832.9,844.72,820.67,825.37,11300900.0,10190038654.0,0.1954,24.05,832.58,816.6857142857145,21.07360660252811,-0.008659828484950439,0,False
281,824.08,826.48,807.22,823.83,13940100.0,10174774202.0,0.8624,19.26,825.37,824.177142857143,6.721482262830287,-0.0018658298702399696,0,False
282,823.77,840.17,820.94,827.96,16609700.0,10229342305.0,0.3651,19.23,823.83,826.384285714286,4.380969668704908,0.005013170192879593,0,False
283,829.96,837.32,811.91,811.91,22395100.0,10034436286.0,0.0,25.41,827.96,824.3714285714287,7.025589959977223,-0.01938499444417613,0,False
284,815.59,819.81,770.59,781.55,50108700.0,9662791119.0,0.2227,49.22,811.91,819.0171428571431,17.798027713098264,-0.03739330713995395,0,False
285,783.2,783.2,654.35,712.4,113643000.0,8810607000.0,0.4505,128.85,781.55,802.2285714285716,43.158561695439815,-0.08847802443861555,1,False
286,699.57,721.82,661.87,673.92,38742600.0,8337738240.0,0.201,59.95,712.4,779.5628571428573,62.077514370955925,-0.054014598540146015,1,False
287,671.46,712.27,655.25,682.9,39311400.0,8451228950.0,0.4849,57.02,673.92,759.2100000000002,67.66024041734843,0.013325023741690437,1,False
288,681.32,703.71,550.5,681.03,112758000.0,8430742782.0,0.852,153.21,682.9,738.8100000000002,66.44634025537748,-0.002738321862644611,1,False
289,683.5,712.46,636.66,672.17,72745200.0,8323817195.0,0.4685,75.8,681.03,716.5542857142858,57.03309882782831,-0.01300970588667168,1,False
290,672.38,672.9,643.04,651.72,25367600.0,8073458481.0,0.2907,29.86,672.17,693.6700000000002,42.74261105735208,-0.030423851109094326,1,False
291,651.08,657.99,601.91,605.24,38588100.0,7500376176.0,0.0594,56.08,651.72,668.4828571428573,33.210967422569084,-0.07131897133738417,1,False
292,601.17,691.72,541.04,661.99,102506000.0,8206805878.0,0.8027,150.68,605.24,661.2814285714287,26.98217895116097,0.09376445707487939,0,False
293,660.9,661.84,632.84,650.92,26709200.0,8072579656.0,0.6234,29.0,661.99,657.9957142857145,26.584087256067136,-0.01672230698348925,0,False
294,651.3,665.1,584.17,616.63,40061700.0,7650358837.0,0.4011,80.93,650.92,648.5285714285717,27.999385367405498,-0.05267928470472557,0,False
295,614.23,656.95,607.31,626.27,31948400.0,7772386462.0,0.382,49.64,616.63,640.7057142857145,24.88143542023912,0.015633361983685496,0,False
296,627.16,645.76,612.54,626.6,20015100.0,7779035355.0,0.4232,33.22,626.27,634.1957142857145,20.923767074108145,0.0005269292797037076,0,False
297,625.97,631.77,618.7,623.03,13897800.0,7737830115.0,0.3313,13.07,626.6,630.097142857143,19.692675215494756,-0.005697414618576524,0,False
298,623.09,627.73,556.14,556.14,46905000.0,6909538974.0,0.0,71.59,623.03,623.0828571428574,33.74954010268828,-0.10736240630467231,0,True
299,556.88,582.96,530.47,574.16,47308100.0,7135603064.0,0.8323,52.49,556.14,610.5357142857146,33.19601725967846,0.0324019131873269,0,False
300,574.24,614.48,558.58,605.42,31254000.0,7526808473.0,0.8379,55.9,574.16,604.0357142857146,28.02196570379875,0.054444754075519006,0,False
301,606.47,639.91,599.7,605.82,31434400.0,7534325867.0,0.1522,40.21,605.42,602.4914285714287,27.505324592749187,0.0006606983581647302,0,False
302,606.04,607.61,538.7,546.32,57893900.0,6796971990.0,0.1106,68.91,605.82,591.0700000000003,32.18675452211335,-0.09821399095440889,0,False
303,540.24,541.38,420.41,538.71,126314000.0,6704461434.0,0.9779,120.97,546.32,578.514285714286,33.145110175884916,-0.013929565090057133,0,False
304,537.04,603.8,532.58,582.69,64642700.0,7254505067.0,0.7036,71.22,538.71,572.7514285714288,27.064441880183622,0.08163947207217244,0,False
305,581.65,594.05,566.62,578.77,25540800.0,7208406719.0,0.4429,27.43,582.69,575.9842857142861,26.083290217523366,-0.006727419382519131,0,False
306,579.7,584.14,545.17,549.26,28076100.0,6843353924.0,0.105,38.97,578.77,572.4271428571432,28.000936719027457,-0.050987438879002006,0,False
307,549.92,573.38,539.29,565.61,18668100.0,7049084308.0,0.7721,34.09,549.26,566.7400000000004,23.929947764258195,0.02976732330772316,0,False
308,567.23,570.48,553.27,559.79,7950760.0,6978524072.0,0.3788,17.21,565.61,560.1642857142859,16.60436875960335,-0.010289775640459062,0,False
309,562.56,702.91,560.52,667.76,96056896.0,8326933812.0,0.7531,142.39,559.79,577.5128571428573,42.68605030307106,0.19287589989103063,0,True
310,668.24,696.22,655.68,666.78,55344600.0,8317230356.0,0.2738,40.54,667.76,595.8085714285717,50.087294273290134,-0.001467593147238556,0,False
311,666.24,674.28,646.28,665.51,22461900.0,8304000852.0,0.6868,28.0,666.78,607.6400000000002,55.91472018470129,-0.0019046762050451151,0,False
312,664.52,669.77,649.79,663.86,16068100.0,8286267327.0,0.7042,19.98,665.51,619.7957142857146,57.80948216833922,-0.0024793015882555894,0,False
313,664.31,665.34,616.35,629.15,34150800.0,7855629815.0,0.2613,48.99,663.86,631.2085714285715,48.73749392701485,-0.05228512035670177,0,False
314,629.66,635.14,604.46,617.45,18654200.0,7712151171.0,0.4234,30.68,629.15,638.6142857142859,40.32012188190307,-0.01859651911308898,0,False
315,616.31,643.95,612.35,636.96,15396500.0,7958687808.0,0.7788,31.6,617.45,649.6385714285716,21.18567867575789,0.03159770021864117,0,False
316,636.33,644.76,615.02,627.79,20639800.0,7846433315.0,0.4294,29.74,636.96,643.9285714285716,20.871603858331866,-0.014396508414971226,0,False
317,627.95,638.42,618.84,634.11,11732500.0,7928102950.0,0.7799,19.58,627.79,639.2614285714287,18.41866845402069,0.010067060641297329,0,False
318,631.91,648.03,629.51,632.1,18621200.0,7905832725.0,0.1398,18.52,634.11,634.4885714285716,14.366172569122444,-0.003169797038368723,0,False
319,633.62,644.2,630.85,638.14,11634900.0,7983960982.0,0.5461,13.35,632.1,630.8142857142859,7.005604559079007,0.00955545008701149,0,False
320,638.14,639.53,627.21,628.8,11913800.0,7869180480.0,0.1291,12.32,638.14,630.7642857142861,7.020695257939579,-0.014636286708245889,0,False
321,629.37,639.14,627.3,636.12,4342080.0,7963443153.0,0.7449,11.84,628.8,633.4314285714289,4.0282106390396635,0.011641221374045881,0,False
